"email","full_name","department_full_name","job_title"
achamberlain@aust-mfg.com,Andrena Chamberlain,Payroll Cost Centers / CQRG,Senior Quality Engineer
dperkins@aust-mfg.com,Debra Mae Perkins,Payroll Cost Centers / MOPS,Senior Buyer/Planner
mcollier@centerpoint-systems.com,Michelle Collier,Payroll Cost Centers / CQRG,Quality Specialist
cdecaria@aust-mfg.com,Christine Decaria,Payroll Cost Centers / MENG,Senior NPI Engineer
acortez@aust-mfg.com,Alexandra Cortez,Manufacturing,Quality Control Inspector
alejandravitela@aust-mfg.com,Alejandra Vitela,Payroll Cost Centers / MOPS-D,Trainer
sruiz@aust-mfg.com,Steven Ruiz,Payroll Cost Centers / MG&A,Operator II
jerdmann@aust-mfg.com,John Erdmann,Payroll Cost Centers / MOPS,Manufacturing Engineering Manager
ajohnson@aust-mfg.com,Ashton Johnson,Payroll Cost Centers / CENG,Intern
pmishra@aust-mfg.com,Puskar Mishra,Payroll Cost Centers / MOPS,
gvriens@aust-mfg.com,Griffin Vriens,Manufacturing Engineering,Engineering Technician
amorales@aust-mfg.com,Azucena Morales,Payroll Cost Centers / MOPS-D,Quality Control Supervisor
